strategy,split_id,family,family_label,block_name,n_features,features,params_json,threshold,random_state,train_roc_auc,train_pr_auc,train_balanced_accuracy,train_f1,train_brier,train_sensitivity,train_specificity,train_tn,train_fp,train_fn,train_tp,val_roc_auc,val_pr_auc,val_balanced_accuracy,val_f1,val_brier,val_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp,test_roc_auc,test_pr_auc,test_balanced_accuracy,test_f1,test_brier,test_sensitivity,test_specificity,test_tn,test_fp,test_fn,test_tp
by_image,holdout_O012791,logistic_regression,Logistic Regression,B0_base,5,"SD,NDAI,AF,AN,BF","{""C"": 0.1}",0.2309191370896308,214,0.9459641620853559,0.9030193957419106,0.9156101145671178,0.9110757639179573,0.08451832525584704,0.9480451599414593,0.8831750691927764,57757,7640,2982,54414,0.9481099590143478,0.6121192756430768,0.9275940497484487,0.6784866233971822,0.05828349800398795,0.9217204301075269,0.9334676693893706,25942,1849,182,2143,0.788709039005093,0.7196854987274656,0.7366485495746078,0.6938735449423866,0.17404316862747016,0.8319525513086048,0.6413445478406108,21503,12025,3570,17674
by_image,holdout_O012791,logistic_regression,Logistic Regression,B0_base,5,"SD,NDAI,AF,AN,BF","{""C"": 1.0}",0.23676043532389898,214,0.9448870802237519,0.9039895033319343,0.9169551274203278,0.9123120340339497,0.08431196201266618,0.9434106906404628,0.8904995642001927,58236,7161,3248,54148,0.9413141486587868,0.6164240635784463,0.9226554044145954,0.6835033187631536,0.05777862665413038,0.9079569892473118,0.937353819581879,26050,1741,214,2111,0.7691641967003829,0.7102265508412325,0.7182374842424665,0.6755854149170947,0.17871649892250255,0.8141592920353983,0.6223156764495347,20865,12663,3948,17296
by_image,holdout_O012791,logistic_regression,Logistic Regression,B0_base,5,"SD,NDAI,AF,AN,BF","{""C"": 10.0}",0.2362554168498557,214,0.9447294692290269,0.9040935010391425,0.9167291415201125,0.9120832842005964,0.0843066186405822,0.9433409993727786,0.8901172836674465,58211,7186,3252,54144,0.9404771019317385,0.6167575293386841,0.9224395071816782,0.682178057844563,0.05774551020023751,0.9079569892473118,0.9369220251160447,26038,1753,214,2111,0.7669548749818101,0.7091249082926904,0.7129703858781231,0.6708103488462435,0.17928532087954124,0.8128412728299755,0.6130994989262706,20556,12972,3976,17268
by_image,holdout_O012791,random_forest,Random Forest,B0_base,5,"SD,NDAI,AF,AN,BF","{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10}",0.5158839122936282,214,0.9916923925027328,0.9895768519049982,0.9565465666714785,0.9531453288951219,0.0335679454769625,0.9828211025158547,0.9302720308271022,60837,4560,986,56410,0.9868305241543733,0.8265326289214169,0.9586635574369826,0.724577621931782,0.03872169398296851,0.9776344086021506,0.9396927062718147,26115,1676,52,2273,0.5275667025115596,0.48732338451559387,0.5500661413189564,0.5767029562373596,0.4152638804206354,0.9462907173790247,0.1538415652588881,5158,28370,1141,20103
by_image,holdout_O012791,random_forest,Random Forest,B0_base,5,"SD,NDAI,AF,AN,BF","{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 50}",0.40616875970244976,214,0.9913601268065422,0.9891595621559964,0.9520473509883671,0.9483368955383382,0.03449776306004474,0.9895114642135341,0.9145832377632002,59811,5586,602,56794,0.9875321978996061,0.8343669478339102,0.9654825902870234,0.7439597859575158,0.03483575088994655,0.9866666666666667,0.9442985139073801,26243,1548,31,2294,0.7461702058584532,0.6865088404470544,0.5586391515724782,0.584359325125399,0.3133276550240785,0.965166635285257,0.15211166785969935,5100,28428,740,20504
by_image,holdout_O012791,random_forest,Random Forest,B0_base,5,"SD,NDAI,AF,AN,BF","{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10}",0.437297653369614,214,0.9978582704513161,0.997559697345395,0.9720616650645092,0.9694548551959115,0.019779756988134712,0.9914802425256115,0.9526430876034069,62300,3097,489,56907,0.9923223384378713,0.9163492204938627,0.9601523507068699,0.7543449197860963,0.029566020508353205,0.970752688172043,0.9495520132416969,26389,1402,68,2257,0.5621097568958345,0.4747517592717437,0.542789947602256,0.5700972330419227,0.43683784915111873,0.9300979099981171,0.15548198520639467,5213,28315,1485,19759
by_image,holdout_O012791,random_forest,Random Forest,B0_base,5,"SD,NDAI,AF,AN,BF","{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 50}",0.4832573238298724,214,0.9945879248331726,0.9936267468742173,0.9623108463855321,0.9592650873984604,0.028529923134304518,0.9824378005435919,0.9421838922274722,61616,3781,1008,56388,0.9930774835049485,0.9194837448628793,0.9669590178300935,0.8159564823209429,0.026194331015810104,0.967741935483871,0.966176100176316,26851,940,75,2250,0.716880329532656,0.616472471695506,0.5548872563891719,0.5764353104658817,0.3268399583005455,0.9275089437017511,0.1822655690765927,6111,27417,1540,19704
by_image,holdout_O012791,hist_gradient_boosting,HistGradientBoosting,B0_base,5,"SD,NDAI,AF,AN,BF","{""l2_regularization"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_samples_leaf"": 20}",0.367397058553843,214,0.9869292958863184,0.9832300075102075,0.9450531493983876,0.9411414194915254,0.04068718228951588,0.9906613701303226,0.8994449286664525,58821,6576,536,56860,0.9798498237419633,0.701927752877573,0.966267465718576,0.7393608479203468,0.037647055339057524,0.9901075268817204,0.9424274045554316,26191,1600,23,2302,0.8398844854971836,0.7725669930963894,0.6224955046186831,0.6205043152430971,0.20107939979580627,0.9509979288269629,0.29399308041040323,9857,23671,1041,20203
by_image,holdout_O012791,hist_gradient_boosting,HistGradientBoosting,B0_base,5,"SD,NDAI,AF,AN,BF","{""l2_regularization"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_samples_leaf"": 20}",0.4472549574543851,214,0.9920348737929634,0.9901849401028731,0.9557483220793876,0.9522814056797012,0.03246990749141981,0.9841452366018538,0.9273514075569216,60646,4751,910,56486,0.9901728996352575,0.8815920310175457,0.9655399384731578,0.7493455497382199,0.030887153548571727,0.9849462365591398,0.9461336403871757,26294,1497,35,2290,0.6951400380804533,0.5412411523829276,0.6087621731003947,0.6003047396745121,0.29118083190474464,0.8716343438147242,0.3458900023860654,11597,21931,2727,18517
by_image,holdout_O012791,hist_gradient_boosting,HistGradientBoosting,B0_base,5,"SD,NDAI,AF,AN,BF","{""l2_regularization"": 0.1, ""learning_rate"": 0.03, ""max_depth"": null, ""min_samples_leaf"": 100}",0.3318475334346893,214,0.9936813242640544,0.9922228144216455,0.9578625152544958,0.9543556636203572,0.02859463613436446,0.9915847794271377,0.9241402510818539,60436,4961,483,56913,0.9922983343799319,0.9010625980305659,0.9674402829414489,0.7522094926350246,0.025036611722415295,0.9883870967741936,0.9464934691087042,26304,1487,27,2298,0.8288876635837408,0.6681471014151099,0.8028483239878732,0.7612478819894348,0.18153013480329572,0.8987949538693278,0.7069016941064186,23701,9827,2150,19094
