strategy,split_id,family,family_label,block_name,n_features,features,params_json,threshold,random_state,train_roc_auc,train_pr_auc,train_balanced_accuracy,train_f1,train_brier,train_sensitivity,train_specificity,train_tn,train_fp,train_fn,train_tp,val_roc_auc,val_pr_auc,val_balanced_accuracy,val_f1,val_brier,val_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp,test_roc_auc,test_pr_auc,test_balanced_accuracy,test_f1,test_brier,test_sensitivity,test_specificity,test_tn,test_fp,test_fn,test_tp
spatial_within_image,O013257_x_gt_q80,hist_gradient_boosting,HistGradientBoosting,B3_context_ae,18,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3,ae4,ae5,ae0","{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": null, ""min_samples_leaf"": 100}",0.07381373253540606,214,0.9999384376017336,0.9998816367761856,0.9702203792261646,0.9462664051893197,0.005238498188825889,1.0,0.9404407584523292,28122,1781,0,15682,0.9999611762933984,0.9998885387782361,0.9986444158486505,0.9971132620139243,0.0060167841367868066,0.9989792446410344,0.9983095870562666,8268,14,3,2936,0.9968126447754135,0.976716696842172,0.9691213315203915,0.8338231969251639,0.018328874484491622,0.9983757444504602,0.9398669185903229,11441,732,3,1844
spatial_within_image,O013490_x_gt_q80,hist_gradient_boosting,HistGradientBoosting,B3_context_ae,18,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3,ae4,ae5,ae0","{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": null, ""min_samples_leaf"": 100}",0.55588940368126,214,1.0,1.0,1.0,1.0,1.815258873570225e-07,1.0,1.0,15318,0,0,37686,0.999446827755983,0.9930830225435784,0.997312849052458,0.9757847533632287,0.004217328437500159,0.9990817263544536,0.9955439717504624,11841,53,1,1088,0.9989088333330653,0.9622504652418477,0.9835523971643061,0.9011627906976745,0.005678134592719419,0.9728033472803347,0.9943014470482776,15529,89,13,465
