strategy,split_id,family,family_label,block_name,n_features,features,params_json,threshold,random_state,train_roc_auc,train_pr_auc,train_balanced_accuracy,train_f1,train_brier,train_sensitivity,train_specificity,train_tn,train_fp,train_fn,train_tp,val_roc_auc,val_pr_auc,val_balanced_accuracy,val_f1,val_brier,val_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp,test_roc_auc,test_pr_auc,test_balanced_accuracy,test_f1,test_brier,test_sensitivity,test_specificity,test_tn,test_fp,test_fn,test_tp,prediction_path
by_image,holdout_O012791,random_forest,Random Forest,B3_context_ae,18,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3,ae4,ae5,ae0","{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10}",0.508329822248095,214,0.9997420353701264,0.9997078191407527,0.9907540361942728,0.9898173001991515,0.008990026835875265,0.9958359467558715,0.9856721256326743,64460,937,239,57157,0.9986657396240679,0.9853193841004948,0.9877604840740968,0.8995327102803738,0.01321956583738374,0.9935483870967742,0.9819725810514195,27290,501,15,2310,0.827722321282198,0.7765201846864241,0.6636924048362683,0.6390361942027493,0.22507913754957284,0.8763886273771417,0.4509961822953949,15121,18407,2626,18618,/Users/jayding/Desktop/DUKE/YY/歪歪长官的任务/Stat 214/stat-214-local/lab2/isolated_merged/results/part3/predictions/by_image/holdout_O012791/random_forest__B3_context_ae__test_predictions.csv
by_image,holdout_O013257,random_forest,Random Forest,B3_context_ae,18,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3,ae4,ae5,ae0","{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10}",0.3910079721685416,214,0.9997041900699749,0.9997551221518977,0.9868940362174208,0.9890432901505206,0.009620742007905202,0.9979006647894834,0.9758874076453582,48607,1201,126,59893,0.9980279570400838,0.9406066703630667,0.9804830232686412,0.6103896103896104,0.011856851297417662,0.9832635983263598,0.9777024482109228,25958,592,8,470,0.9770561147437427,0.9235772660090986,0.9171136984770438,0.877863146992943,0.05567947264901769,0.8903654485049833,0.9438619484491044,47531,2827,2244,18224,/Users/jayding/Desktop/DUKE/YY/歪歪长官的任务/Stat 214/stat-214-local/lab2/isolated_merged/results/part3/predictions/by_image/holdout_O013257/random_forest__B3_context_ae__test_predictions.csv
by_image,holdout_O013490,random_forest,Random Forest,B3_context_ae,18,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3,ae4,ae5,ae0","{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 50}",0.5782071084232693,214,0.9868843468190476,0.9764269080206912,0.9443590750014744,0.9250737882721098,0.048858562150367914,0.9788285463439107,0.9098896036590381,55304,5477,844,39021,0.9979565288148651,0.9750282537895318,0.9837885166081681,0.8617771509167842,0.022203496029438066,0.9924201407688142,0.9751568924475221,22531,574,14,1833,0.9768262341249451,0.967341717922869,0.9291651411496578,0.926769154166926,0.05299266692987457,0.9483606348559346,0.9099696474433808,38974,3856,2027,37226,/Users/jayding/Desktop/DUKE/YY/歪歪长官的任务/Stat 214/stat-214-local/lab2/isolated_merged/results/part3/predictions/by_image/holdout_O013490/random_forest__B3_context_ae__test_predictions.csv
