strategy,split_id,family,family_label,block_name,n_features,features,params_json,threshold,random_state,train_roc_auc,train_pr_auc,train_balanced_accuracy,train_f1,train_brier,train_sensitivity,train_specificity,train_tn,train_fp,train_fn,train_tp,val_roc_auc,val_pr_auc,val_balanced_accuracy,val_f1,val_brier,val_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp,test_roc_auc,test_pr_auc,test_balanced_accuracy,test_f1,test_brier,test_sensitivity,test_specificity,test_tn,test_fp,test_fn,test_tp,prediction_path
by_image,holdout_O012791,logistic_regression,Logistic Regression,B2_context,15,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3","{""C"": 1.0}",0.2511428172184121,214,0.9649477876085231,0.9521805833774211,0.920439313159644,0.9159131854994864,0.06470913137362166,0.9477489720538017,0.8931296542654862,58408,6989,2999,54397,0.9773048209697346,0.7734101862331457,0.9494958025786178,0.7270049099836334,0.03708635600893922,0.9552688172043011,0.9437227879529344,26227,1564,104,2221,0.8361015318160095,0.7379370145853743,0.579622400211947,0.5917353892956738,0.1693617384453868,0.9339107512709471,0.2253340491529468,7555,25973,1404,19840,/Users/jayding/Desktop/DUKE/YY/歪歪长官的任务/Stat 214/stat-214-local/lab2/isolated_merged/results/part3/predictions/by_image/holdout_O012791/logistic_regression__B2_context__test_predictions.csv
by_image,holdout_O013257,logistic_regression,Logistic Regression,B2_context,15,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3","{""C"": 0.1}",0.42975099414386314,214,0.9519900104232438,0.9551068679517087,0.8941960994327918,0.9001045980628098,0.0802558839230742,0.8817707725886802,0.9066214262769033,45157,4651,7096,52923,0.9852377687949634,0.7501932060975224,0.963465790448274,0.5520581113801453,0.026649888014554292,0.9539748953974896,0.9729566854990583,25832,718,22,456,0.7643491391940527,0.6954929391303315,0.6803586865240501,0.5326153636425601,0.15616635458517744,0.38176666015243305,0.978950712895667,49298,1060,12654,7814,/Users/jayding/Desktop/DUKE/YY/歪歪长官的任务/Stat 214/stat-214-local/lab2/isolated_merged/results/part3/predictions/by_image/holdout_O013257/logistic_regression__B2_context__test_predictions.csv
by_image,holdout_O013490,logistic_regression,Logistic Regression,B2_context,15,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3","{""C"": 10.0}",0.3394112808491688,214,0.9095965975210922,0.8068912426566721,0.8752071929275181,0.8446483321422809,0.1250091058460456,0.9191019691458673,0.831312416709169,50528,10253,3225,36640,0.9781116479732189,0.8621277249729064,0.9328201437213671,0.6329844821364129,0.06506398294324818,0.9496480779642664,0.9159922094784678,21164,1941,93,1754,0.9632156699608235,0.9365200979691419,0.9067696674694812,0.9075614673371493,0.07811454712672825,0.9977326573765063,0.8158066775624562,34941,7889,89,39164,/Users/jayding/Desktop/DUKE/YY/歪歪长官的任务/Stat 214/stat-214-local/lab2/isolated_merged/results/part3/predictions/by_image/holdout_O013490/logistic_regression__B2_context__test_predictions.csv
