strategy,split_id,family,family_label,block_name,n_features,features,params_json,threshold,random_state,train_roc_auc,train_pr_auc,train_balanced_accuracy,train_f1,train_brier,train_sensitivity,train_specificity,train_tn,train_fp,train_fn,train_tp,val_roc_auc,val_pr_auc,val_balanced_accuracy,val_f1,val_brier,val_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp,test_roc_auc,test_pr_auc,test_balanced_accuracy,test_f1,test_brier,test_sensitivity,test_specificity,test_tn,test_fp,test_fn,test_tp,prediction_path
by_image,holdout_O012791,hist_gradient_boosting,HistGradientBoosting,B3_context_ae,18,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3,ae4,ae5,ae0","{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": null, ""min_samples_leaf"": 100}",0.3858357469957761,214,0.9999126269588975,0.9999000969191006,0.9938087206036541,0.9930629530515213,0.004362317805054266,0.9989023625339745,0.9887150786733336,64659,738,63,57333,0.9989340557765471,0.9846779436012826,0.9905466262575143,0.9215139442231076,0.008355911348775657,0.9948387096774194,0.9862545428376093,27409,382,12,2313,0.8954666403260504,0.8046494451094809,0.8284806571460367,0.7885186824302965,0.15563777472579493,0.8806251176802862,0.7763361966117872,26029,7499,2536,18708,/Users/jayding/Desktop/DUKE/YY/歪歪长官的任务/Stat 214/stat-214-local/lab2/isolated_merged/results/part3/predictions/by_image/holdout_O012791/hist_gradient_boosting__B3_context_ae__test_predictions.csv
by_image,holdout_O013257,hist_gradient_boosting,HistGradientBoosting,B3_context_ae,18,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3,ae4,ae5,ae0","{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": null, ""min_samples_leaf"": 100}",0.15254621884698197,214,0.9998942081313399,0.9999126359227758,0.9838586404820719,0.9867530609392088,0.004667177602934004,0.9997000949699262,0.9680171859942178,48215,1593,18,60001,0.9980742894514968,0.9348550336886798,0.9795516472433003,0.5722964763061968,0.009160746357386585,0.9853556485355649,0.9737476459510358,25853,697,7,471,0.9787626340952813,0.9308534278189622,0.9285636796759551,0.8886415308829102,0.0595743433725371,0.9166015243306624,0.9405258350212479,47363,2995,1707,18761,/Users/jayding/Desktop/DUKE/YY/歪歪长官的任务/Stat 214/stat-214-local/lab2/isolated_merged/results/part3/predictions/by_image/holdout_O013257/hist_gradient_boosting__B3_context_ae__test_predictions.csv
by_image,holdout_O013490,hist_gradient_boosting,HistGradientBoosting,B3_context_ae,18,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3,ae4,ae5,ae0","{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": null, ""min_samples_leaf"": 100}",0.35753855909368,214,0.9986978621578186,0.9979896857597232,0.9758021873286814,0.9650684183047802,0.015850805973172313,0.9969145867302145,0.9546897879271483,58027,2754,123,39742,0.9977787429553202,0.9735491728130086,0.9815358711149765,0.8633672744494435,0.012932019909021288,0.9870059556036817,0.9760657866262714,22552,553,24,1823,0.9899300293356676,0.9864839429304979,0.9433013039050616,0.9414385741565882,0.04090830584130492,0.9796448679081854,0.9069577399019378,38845,3985,799,38454,/Users/jayding/Desktop/DUKE/YY/歪歪长官的任务/Stat 214/stat-214-local/lab2/isolated_merged/results/part3/predictions/by_image/holdout_O013490/hist_gradient_boosting__B3_context_ae__test_predictions.csv
