strategy,split_id,family,family_label,block_name,n_features,features,params_json,threshold,random_state,train_roc_auc,train_pr_auc,train_balanced_accuracy,train_f1,train_brier,train_sensitivity,train_specificity,train_tn,train_fp,train_fn,train_tp,val_roc_auc,val_pr_auc,val_balanced_accuracy,val_f1,val_brier,val_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp,test_roc_auc,test_pr_auc,test_balanced_accuracy,test_f1,test_brier,test_sensitivity,test_specificity,test_tn,test_fp,test_fn,test_tp,prediction_path
by_image,holdout_O012791,logistic_regression,Logistic Regression,B2_context,15,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3","{""C"": 1.0}",0.2507038178490013,214,0.9649439799889161,0.9522235811686992,0.9203484466035747,0.9158242923635017,0.0646452976866383,0.94788835458917,0.8928085386179794,58387,7010,2991,54405,0.9772901956733111,0.7733499390774135,0.9493518710900064,0.7260542661000327,0.03709292877943961,0.9552688172043011,0.9434349249757116,26219,1572,104,2221,0.8368826519142144,0.7384965409425462,0.5803522201572341,0.5922522710660959,0.16899490167273856,0.9344756166446997,0.22622882366976854,7585,25943,1392,19852,/Users/jayding/Desktop/DUKE/YY/歪歪长官的任务/Stat 214/stat-214-local/lab2/results/part3/predictions/by_image/holdout_O012791/logistic_regression__B2_context__test_predictions.csv
by_image,holdout_O013257,logistic_regression,Logistic Regression,B2_context,15,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3","{""C"": 0.1}",0.4341204304110879,214,0.9519990579784653,0.9551721072889966,0.8943019863029561,0.8999991487115749,0.08026256325047522,0.8807377663739816,0.9078662062319306,45219,4589,7158,52861,0.9852765367310434,0.7498905222809197,0.9635976171902703,0.5544072948328268,0.026682556296590974,0.9539748953974896,0.9732203389830508,25839,711,22,456,0.7652632760146749,0.6964752330340829,0.6798121211360584,0.531486661663369,0.1559520887724585,0.380594098104358,0.9790301441677588,49302,1056,12678,7790,/Users/jayding/Desktop/DUKE/YY/歪歪长官的任务/Stat 214/stat-214-local/lab2/results/part3/predictions/by_image/holdout_O013257/logistic_regression__B2_context__test_predictions.csv
by_image,holdout_O013490,logistic_regression,Logistic Regression,B2_context,15,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3","{""C"": 10.0}",0.33895459361264524,214,0.9096187152410681,0.8069743024299509,0.8752347129641544,0.8446595229865191,0.12497599390226236,0.9194531543960868,0.8310162715322222,50510,10271,3211,36654,0.9782925738492629,0.8630413751383598,0.9328744496037311,0.6320907617504052,0.06496497394975337,0.9501894964807797,0.9155594027266826,21154,1951,92,1755,0.9631467920239805,0.9365338518043819,0.906492681482773,0.9073156041512231,0.07819184225572486,0.9978090846559499,0.815176278309596,34914,7916,86,39167,/Users/jayding/Desktop/DUKE/YY/歪歪长官的任务/Stat 214/stat-214-local/lab2/results/part3/predictions/by_image/holdout_O013490/logistic_regression__B2_context__test_predictions.csv
